,Unnamed: 0,Nursing Home Name,State,County,Connected_to,Strength,Connected_county,Connected_state
46,46,Charter House,MN,Olmsted ,Ridgeview Lesueur Long Term Care and Rehab Center,1,MN,Le Sueur 
47,47,Charter House,MN,Olmsted ,Stewartville Care Center,1,MN,Olmsted 
48,48,Charter House,MN,Olmsted ,Kenyon Sunset Home,1,MN,Goodhue 
49,49,Charter House,MN,Olmsted ,Avera Sunrise Manor,1,MN,Lincoln 
50,50,Charter House,MN,Olmsted ,Appleton Area Health,1,MN,Swift 
51,51,Charter House,MN,Olmsted ,Zumbrota Care Center,1,MN,Goodhue 
52,52,Charter House,MN,Olmsted ,Fairview Care Center,1,MN,Dodge 
53,53,Charter House,MN,Olmsted ,St Gertrudes Health and Rehabilitation Center,1,MN,Scott 
54,54,Charter House,MN,Olmsted ,Madonna Towers Of Rochester,1,MN,Olmsted 
55,55,Charter House,MN,Olmsted ,Pine Haven Care Center,1,MN,Goodhue 
56,56,New Brighton A Villa Center,MN,Ramsey ,Rose Of Sharon A Villa Center,3,MN,Ramsey 
57,57,New Brighton A Villa Center,MN,Ramsey ,Parmly On The Lake,2,MN,Chisago 
58,58,New Brighton A Villa Center,MN,Ramsey ,Benedictine Health Center Innsbruck,2,MN,Ramsey 
59,59,New Brighton A Villa Center,MN,Ramsey ,Caledonia Rehabilitation and Retirement Center,1,MN,Houston 
60,60,New Brighton A Villa Center,MN,Ramsey ,Ramsey County Care Center,1,MN,Ramsey 
61,61,New Brighton A Villa Center,MN,Ramsey ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
62,62,New Brighton A Villa Center,MN,Ramsey ,The Gardens at Cannon Falls,1,MN,Goodhue 
63,63,New Brighton A Villa Center,MN,Ramsey ,Southview Acres Healthcare Center,1,MN,Dakota 
64,64,New Brighton A Villa Center,MN,Ramsey ,Gables Of Boutwells Landing,1,MN,Washington 
65,65,New Brighton A Villa Center,MN,Ramsey ,Cerenity - Marian Of St Paul ,1,MN,Ramsey 
66,66,New Brighton A Villa Center,MN,Ramsey ,The Villa at Osseo,1,MN,Hennepin 
67,67,New Brighton A Villa Center,MN,Ramsey ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
68,68,New Brighton A Villa Center,MN,Ramsey ,Lyngblomsten Care Center,1,MN,Ramsey 
69,69,New Brighton A Villa Center,MN,Ramsey ,Brookview A Villa Center,1,MN,Hennepin 
70,70,New Brighton A Villa Center,MN,Ramsey ,Crest View Lutheran Home,1,MN,Anoka 
71,71,New Brighton A Villa Center,MN,Ramsey ,Guardian Angels Care Center,1,MN,Sherburne 
72,72,New Brighton A Villa Center,MN,Ramsey ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
73,73,New Brighton A Villa Center,MN,Ramsey ,Walker Methodist Health Center,1,MN,Hennepin 
75,75,Ebenezer Care Center,MN,Hennepin ,Martin Luther Care Center,2,MN,Hennepin 
76,76,Ebenezer Care Center,MN,Hennepin ,Sholom Home West,2,MN,Hennepin 
77,77,Ebenezer Care Center,MN,Hennepin ,Park View Care Center,1,MN,Wright 
78,78,Ebenezer Care Center,MN,Hennepin ,Ramsey County Care Center,1,MN,Ramsey 
79,79,Ebenezer Care Center,MN,Hennepin ,Texas Terrace A Villa Center,1,MN,Hennepin 
80,80,Ebenezer Care Center,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
81,81,Ebenezer Care Center,MN,Hennepin ,Camilia Rose Care Center,1,MN,Anoka 
82,82,Ebenezer Care Center,MN,Hennepin ,Mn Veterans Home Minneapolis,1,MN,Hennepin 
83,83,Ebenezer Care Center,MN,Hennepin ,The Estates at Roseville,1,MN,Ramsey 
84,84,Ebenezer Care Center,MN,Hennepin ,New Brighton Care Center,1,MN,Ramsey 
85,85,Ebenezer Care Center,MN,Hennepin ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
86,86,Ebenezer Care Center,MN,Hennepin ,Woodlyn Heights Healthcare Center,1,MN,Dakota 
87,87,Ebenezer Care Center,MN,Hennepin ,Galtier A Villa Center,1,MN,Ramsey 
88,88,Ebenezer Care Center,MN,Hennepin ,The Estates at St Louis Park,1,MN,Hennepin 
89,89,Ebenezer Care Center,MN,Hennepin ,Brookview A Villa Center,1,MN,Hennepin 
90,90,Ebenezer Care Center,MN,Hennepin ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
91,91,Ebenezer Care Center,MN,Hennepin ,St Therese Home,1,MN,Hennepin 
92,92,Ebenezer Care Center,MN,Hennepin ,Ebenezer Ridges Geriatric Care Center,1,MN,Dakota 
93,93,The Estates at Roseville,MN,Ramsey ,Camilia Rose Care Center,2,MN,Anoka 
94,94,The Estates at Roseville,MN,Ramsey ,The Estates at St Louis Park,2,MN,Hennepin 
95,95,The Estates at Roseville,MN,Ramsey ,The Emeralds at St Paul,2,MN,Ramsey 
96,96,The Estates at Roseville,MN,Ramsey ,The Estates at Linden,1,MN,Washington 
97,97,The Estates at Roseville,MN,Ramsey ,Texas Terrace A Villa Center,1,MN,Hennepin 
98,98,The Estates at Roseville,MN,Ramsey ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
99,99,The Estates at Roseville,MN,Ramsey ,Hopkins Health Services,1,MN,Hennepin 
100,100,The Estates at Roseville,MN,Ramsey ,Southview Acres Healthcare Center,1,MN,Dakota 
101,101,The Estates at Roseville,MN,Ramsey ,Ebenezer Care Center,1,MN,Hennepin 
102,102,The Estates at Roseville,MN,Ramsey ,Cerenity Care Center On Humboldt,1,MN,Ramsey 
103,103,The Estates at Roseville,MN,Ramsey ,New Brighton Care Center,1,MN,Ramsey 
104,104,The Estates at Roseville,MN,Ramsey ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
105,105,The Estates at Roseville,MN,Ramsey ,The Estates at Chateau,1,MN,Hennepin 
106,106,The Estates at Roseville,MN,Ramsey ,The Estates at Excelsior,1,MN,Hennepin 
107,107,The Estates at Roseville,MN,Ramsey ,Sholom Home West,1,MN,Hennepin 
108,108,The Estates at Roseville,MN,Ramsey ,Woodbury Health Care Center,1,MN,Washington 
109,109,The Estates at Roseville,MN,Ramsey ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
110,110,The Estates at Roseville,MN,Ramsey ,The Estates at Bloomington,1,MN,Hennepin 
111,111,Sholom Home West,MN,Hennepin ,Shirley Chapman Sholom Home East,3,MN,Ramsey 
112,112,Sholom Home West,MN,Hennepin ,Ebenezer Care Center,2,MN,Hennepin 
113,113,Sholom Home West,MN,Hennepin ,Covenant Living Of Golden Valley Care and Rehab Ctr,2,MN,Hennepin 
114,114,Sholom Home West,MN,Hennepin ,Andrew Residence,1,MN,Hennepin 
115,115,Sholom Home West,MN,Hennepin ,Castle Ridge Care Center,1,MN,Hennepin 
116,116,Sholom Home West,MN,Hennepin ,Texas Terrace A Villa Center,1,MN,Hennepin 
117,117,Sholom Home West,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
118,118,Sholom Home West,MN,Hennepin ,Camilia Rose Care Center,1,MN,Anoka 
119,119,Sholom Home West,MN,Hennepin ,Augustana Chapel View Care Center,1,MN,Hennepin 
120,120,Sholom Home West,MN,Hennepin ,The Estates at Roseville,1,MN,Ramsey 
121,121,Sholom Home West,MN,Hennepin ,New Brighton Care Center,1,MN,Ramsey 
122,122,Sholom Home West,MN,Hennepin ,Jones Harrison Residence,1,MN,Hennepin 
123,123,Sholom Home West,MN,Hennepin ,Woodlyn Heights Healthcare Center,1,MN,Dakota 
124,124,Sholom Home West,MN,Hennepin ,Galtier A Villa Center,1,MN,Ramsey 
125,125,Sholom Home West,MN,Hennepin ,The Estates at St Louis Park,1,MN,Hennepin 
126,126,Sholom Home West,MN,Hennepin ,Brookview A Villa Center,1,MN,Hennepin 
127,127,Sholom Home West,MN,Hennepin ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
128,128,Sholom Home West,MN,Hennepin ,Shakopee Friendship Manor,1,MN,Scott 
129,129,Augustana Hcc Of Apple Valley,MN,Dakota ,New Brighton A Villa Center,1,MN,Ramsey 
130,130,Augustana Hcc Of Apple Valley,MN,Dakota ,Park View Care Center,1,MN,Wright 
131,131,Augustana Hcc Of Apple Valley,MN,Dakota ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
132,132,Augustana Hcc Of Apple Valley,MN,Dakota ,Ramsey County Care Center,1,MN,Ramsey 
133,133,Augustana Hcc Of Apple Valley,MN,Dakota ,Redeemer Residence,1,MN,Hennepin 
134,134,Augustana Hcc Of Apple Valley,MN,Dakota ,Presbyterian Homes Of Bloomington,1,MN,Hennepin 
135,135,Augustana Hcc Of Apple Valley,MN,Dakota ,Camilia Rose Care Center,1,MN,Anoka 
136,136,Augustana Hcc Of Apple Valley,MN,Dakota ,The Estates at Roseville,1,MN,Ramsey 
137,137,Augustana Hcc Of Apple Valley,MN,Dakota ,Gables Of Boutwells Landing,1,MN,Washington 
138,138,Augustana Hcc Of Apple Valley,MN,Dakota ,Augustana Health Care Center Of Minneapolis,1,MN,Hennepin 
139,139,Augustana Hcc Of Apple Valley,MN,Dakota ,Parmly On The Lake,1,MN,Chisago 
140,140,Augustana Hcc Of Apple Valley,MN,Dakota ,St Crispin Living Community,1,MN,Goodhue 
141,141,Augustana Hcc Of Apple Valley,MN,Dakota ,Guardian Angels Care Center,1,MN,Sherburne 
142,142,Augustana Hcc Of Apple Valley,MN,Dakota ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
143,143,Augustana Hcc Of Apple Valley,MN,Dakota ,The Estates at Bloomington,1,MN,Hennepin 
144,144,Augustana Hcc Of Apple Valley,MN,Dakota ,Walker Methodist Health Center,1,MN,Hennepin 
145,145,The Estates at St Louis Park,MN,Hennepin ,Texas Terrace A Villa Center,2,MN,Hennepin 
146,146,The Estates at St Louis Park,MN,Hennepin ,The Estates at Roseville,2,MN,Ramsey 
147,147,The Estates at St Louis Park,MN,Hennepin ,The Gardens at Winsted,2,MN,McLeod 
148,148,The Estates at St Louis Park,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
149,149,The Estates at St Louis Park,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
150,150,The Estates at St Louis Park,MN,Hennepin ,Camilia Rose Care Center,1,MN,Anoka 
151,151,The Estates at St Louis Park,MN,Hennepin ,The Estates at Fridley,1,MN,Anoka 
152,152,The Estates at St Louis Park,MN,Hennepin ,New Brighton Care Center,1,MN,Ramsey 
153,153,The Estates at St Louis Park,MN,Hennepin ,Lyngblomsten Care Center,1,MN,Ramsey 
154,154,The Estates at St Louis Park,MN,Hennepin ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
155,155,The Estates at St Louis Park,MN,Hennepin ,The Emeralds at Faribault,1,MN,Rice 
156,156,The Estates at St Louis Park,MN,Hennepin ,The Estates at Delano,1,MN,Wright 
157,157,The Estates at St Louis Park,MN,Hennepin ,Sholom Home West,1,MN,Hennepin 
158,158,The Estates at St Louis Park,MN,Hennepin ,The Estates at Twin Rivers,1,MN,Anoka 
159,159,The Estates at St Louis Park,MN,Hennepin ,The Estates at Bloomington,1,MN,Hennepin 
160,160,Parmly On The Lake,MN,Chisago ,The Estates at Rush City,3,MN,Chisago 
161,161,Parmly On The Lake,MN,Chisago ,New Brighton A Villa Center,2,MN,Ramsey 
162,162,Parmly On The Lake,MN,Chisago ,The Estates at Greeley,1,MN,Washington 
163,163,Parmly On The Lake,MN,Chisago ,Ramsey County Care Center,1,MN,Ramsey 
164,164,Parmly On The Lake,MN,Chisago ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
165,165,Parmly On The Lake,MN,Chisago ,The Estates at Fridley,1,MN,Anoka 
166,166,Parmly On The Lake,MN,Chisago ,Gables Of Boutwells Landing,1,MN,Washington 
167,167,Parmly On The Lake,MN,Chisago ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
168,168,Parmly On The Lake,MN,Chisago ,Lyngblomsten Care Center,1,MN,Ramsey 
169,169,Parmly On The Lake,MN,Chisago ,The Estates at Delano,1,MN,Wright 
170,170,Parmly On The Lake,MN,Chisago ,Guardian Angels Care Center,1,MN,Sherburne 
171,171,Parmly On The Lake,MN,Chisago ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
172,172,Parmly On The Lake,MN,Chisago ,Walker Methodist Health Center,1,MN,Hennepin 
173,173,Parmly On The Lake,MN,Chisago ,Ecumen North Branch,1,MN,Chisago 
175,175,Lake Winona Manor,MN,Winona ,Prairie Manor Care Center,2,MN,Steele 
176,176,Lake Winona Manor,MN,Winona ,Saint Anne Extended Healthcare,2,MN,Winona 
177,177,Lake Winona Manor,MN,Winona ,Good Shepherd Lutheran Home,2,MN,Fillmore 
178,178,Lake Winona Manor,MN,Winona ,Oaklawn Care and Rehabilitation Center,1,MN,Blue Earth 
179,179,Lake Winona Manor,MN,Winona ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
180,180,Lake Winona Manor,MN,Winona ,Laurels Peak Care and Rehabilitation Center,1,MN,Blue Earth 
181,181,Lake Winona Manor,MN,Winona ,Sauer Health Care,1,MN,Winona 
182,182,Lake Winona Manor,MN,Winona ,Pathstone Living,1,MN,Blue Earth 
183,183,Lake Winona Manor,MN,Winona ,Charter House,1,MN,Olmsted 
184,184,Lake Winona Manor,MN,Winona ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
185,185,Lake Winona Manor,MN,Winona ,Centracare Health Paynesville Koronis Manor Cc,1,MN,Stearns 
186,186,Lake Winona Manor,MN,Winona ,Benedictine Living Community,1,MN,Nicollet 
189,189,Gables Of Boutwells Landing,MN,Washington ,Capitol View Transitional Care Center,2,MN,Ramsey 
190,190,Gables Of Boutwells Landing,MN,Washington ,New Brighton A Villa Center,1,MN,Ramsey 
191,191,Gables Of Boutwells Landing,MN,Washington ,Ramsey County Care Center,1,MN,Ramsey 
192,192,Gables Of Boutwells Landing,MN,Washington ,Augustana Hcc Of Apple Valley,1,MN,Dakota 
193,193,Gables Of Boutwells Landing,MN,Washington ,Covenant Living Of Golden Valley Care and Rehab Ctr,1,MN,Hennepin 
194,194,Gables Of Boutwells Landing,MN,Washington ,Cerenity Care Center On Humboldt,1,MN,Ramsey 
195,195,Gables Of Boutwells Landing,MN,Washington ,Saint Therese at Oxbow Lake,1,MN,Hennepin 
196,196,Gables Of Boutwells Landing,MN,Washington ,Maplewood Care Center,1,MN,Ramsey 
197,197,Gables Of Boutwells Landing,MN,Washington ,Parmly On The Lake,1,MN,Chisago 
198,198,Gables Of Boutwells Landing,MN,Washington ,Maranatha Care Center,1,MN,Hennepin 
199,199,Gables Of Boutwells Landing,MN,Washington ,Guardian Angels Care Center,1,MN,Sherburne 
200,200,Gables Of Boutwells Landing,MN,Washington ,Benedictine Health Center Innsbruck,1,MN,Ramsey 
201,201,Gables Of Boutwells Landing,MN,Washington ,Woodbury Health Care Center,1,MN,Washington 
202,202,Gables Of Boutwells Landing,MN,Washington ,Walker Methodist Health Center,1,MN,Hennepin 
203,203,Shirley Chapman Sholom Home East,MN,Ramsey ,Sholom Home West,3,MN,Hennepin 
204,204,Shirley Chapman Sholom Home East,MN,Ramsey ,New Brighton A Villa Center,1,MN,Ramsey 
205,205,Shirley Chapman Sholom Home East,MN,Ramsey ,Ramsey County Care Center,1,MN,Ramsey 
206,206,Shirley Chapman Sholom Home East,MN,Ramsey ,Ebenezer Care Center,1,MN,Hennepin 
207,207,Shirley Chapman Sholom Home East,MN,Ramsey ,Jones Harrison Residence,1,MN,Hennepin 
208,208,Shirley Chapman Sholom Home East,MN,Ramsey ,Woodlyn Heights Healthcare Center,1,MN,Dakota 
209,209,Shirley Chapman Sholom Home East,MN,Ramsey ,Lyngblomsten Care Center,1,MN,Ramsey 
210,210,Shirley Chapman Sholom Home East,MN,Ramsey ,Galtier A Villa Center,1,MN,Ramsey 
211,211,Shirley Chapman Sholom Home East,MN,Ramsey ,Brookview A Villa Center,1,MN,Hennepin 
212,212,Shirley Chapman Sholom Home East,MN,Ramsey ,Edenbrook Of Edina,1,MN,Hennepin 
213,213,Shirley Chapman Sholom Home East,MN,Ramsey ,Parmly On The Lake,1,MN,Chisago 
214,214,Shirley Chapman Sholom Home East,MN,Ramsey ,Maranatha Care Center,1,MN,Hennepin 
215,215,Shirley Chapman Sholom Home East,MN,Ramsey ,Guardian Angels Care Center,1,MN,Sherburne 
216,216,Shirley Chapman Sholom Home East,MN,Ramsey ,Woodbury Health Care Center,1,MN,Washington 
217,217,St Therese Home,MN,Hennepin ,Minnesota Masonic Home Care Center,2,MN,Hennepin 
218,218,St Therese Home,MN,Hennepin ,Saint Therese at Oxbow Lake,2,MN,Hennepin 
219,219,St Therese Home,MN,Hennepin ,Folkestone,2,MN,Hennepin 
220,220,St Therese Home,MN,Hennepin ,Capitol View Transitional Care Center,1,MN,Ramsey 
221,221,St Therese Home,MN,Hennepin ,Hopkins Health Services,1,MN,Hennepin 
222,222,St Therese Home,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
223,223,St Therese Home,MN,Hennepin ,The Villa at Osseo,1,MN,Hennepin 
224,224,St Therese Home,MN,Hennepin ,Annandale Care Center,1,MN,Wright 
225,225,St Therese Home,MN,Hennepin ,Lyngblomsten Care Center,1,MN,Ramsey 
226,226,St Therese Home,MN,Hennepin ,St Anthony Park Home,1,MN,Ramsey 
227,227,St Therese Home,MN,Hennepin ,Good Samaritan Ambassador,1,MN,Hennepin 
228,228,St Therese Home,MN,Hennepin ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
229,229,St Therese Home,MN,Hennepin ,Maranatha Care Center,1,MN,Hennepin 
230,230,St Therese Home,MN,Hennepin ,St Anthony Health and Rehabilitation,1,MN,Ramsey 
231,231,Woodbury Health Care Center,MN,Washington ,Jones Harrison Residence,2,MN,Hennepin 
232,232,Woodbury Health Care Center,MN,Washington ,Good Samaritan Society - Maplewood,2,MN,Ramsey 
233,233,Woodbury Health Care Center,MN,Washington ,Woodlyn Heights Healthcare Center,2,MN,Dakota 
234,234,Woodbury Health Care Center,MN,Washington ,Rochester Health Services West,1,MN,Olmsted 
235,235,Woodbury Health Care Center,MN,Washington ,Centracare Health - Monticello,1,MN,Wright 
236,236,Woodbury Health Care Center,MN,Washington ,Capitol View Transitional Care Center,1,MN,Ramsey 
237,237,Woodbury Health Care Center,MN,Washington ,La Crescent Health Services,1,MN,Houston 
238,238,Woodbury Health Care Center,MN,Washington ,The Estates at Roseville,1,MN,Ramsey 
239,239,Woodbury Health Care Center,MN,Washington ,Pleasant Manor,1,MN,Rice 
240,240,Woodbury Health Care Center,MN,Washington ,Gables Of Boutwells Landing,1,MN,Washington 
241,241,Woodbury Health Care Center,MN,Washington ,Shirley Chapman Sholom Home East,1,MN,Ramsey 
242,242,Woodbury Health Care Center,MN,Washington ,Maplewood Care Center,1,MN,Ramsey 
243,243,Woodbury Health Care Center,MN,Washington ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
244,244,Woodbury Health Care Center,MN,Washington ,The Estates at Twin Rivers,1,MN,Anoka 
245,245,Centracare Health - Monticello,MN,Wright ,Centracare Health System - Melrose Pine Villa C C,1,MN,Stearns 
246,246,Centracare Health - Monticello,MN,Wright ,Park View Care Center,1,MN,Wright 
247,247,Centracare Health - Monticello,MN,Wright ,Mille Lacs Health System,1,MN,Mille Lacs 
248,248,Centracare Health - Monticello,MN,Wright ,Jones Harrison Residence,1,MN,Hennepin 
249,249,Centracare Health - Monticello,MN,Wright ,The Villa at Osseo,1,MN,Hennepin 
250,250,Centracare Health - Monticello,MN,Wright ,Elim Home,1,MN,Mille Lacs 
251,251,Centracare Health - Monticello,MN,Wright ,Mother Of Mercy Senior Living,1,MN,Stearns 
252,252,Centracare Health - Monticello,MN,Wright ,Aurora On France,1,MN,Hennepin 
253,253,Centracare Health - Monticello,MN,Wright ,Sunnyside Health Care Center,1,MN,Carlton 
254,254,Centracare Health - Monticello,MN,Wright ,Cuyuna Regional Medical Center,1,MN,Crow Wing 
255,255,Centracare Health - Monticello,MN,Wright ,Woodbury Health Care Center,1,MN,Washington 
256,256,Centracare Health - Monticello,MN,Wright ,The Estates at Twin Rivers,1,MN,Anoka 
258,258,Glencoe Regional Health Services,MN,McLeod ,Harmony River Living Center,3,MN,McLeod 
259,259,Glencoe Regional Health Services,MN,McLeod ,St Gertrudes Health and Rehabilitation Center,2,MN,Scott 
260,260,Glencoe Regional Health Services,MN,McLeod ,Capitol View Transitional Care Center,1,MN,Ramsey 
261,261,Glencoe Regional Health Services,MN,McLeod ,St Benedicts Senior Community,1,MN,Stearns 
262,262,Glencoe Regional Health Services,MN,McLeod ,Lakeside Health Care Center,1,MN,Meeker 
263,263,Glencoe Regional Health Services,MN,McLeod ,Good Shepherd Lutheran Home,1,MN,Benton 
264,264,Glencoe Regional Health Services,MN,McLeod ,The Gardens at Winsted,1,MN,McLeod 
265,265,Glencoe Regional Health Services,MN,McLeod ,Northfield Hospital Long Term Care Center,1,MN,Dakota 
266,266,Glencoe Regional Health Services,MN,McLeod ,The Estates at Delano,1,MN,Wright 
267,267,Glencoe Regional Health Services,MN,McLeod ,Cuyuna Regional Medical Center,1,MN,Crow Wing 
270,270,Hopkins Health Services,MN,Hennepin ,Camilia Rose Care Center,2,MN,Anoka 
271,271,Hopkins Health Services,MN,Hennepin ,Texas Terrace A Villa Center,1,MN,Hennepin 
272,272,Hopkins Health Services,MN,Hennepin ,Bywood East Health Care,1,MN,Hennepin 
273,273,Hopkins Health Services,MN,Hennepin ,Redeemer Residence,1,MN,Hennepin 
274,274,Hopkins Health Services,MN,Hennepin ,Ebenezer Care Center,1,MN,Hennepin 
275,275,Hopkins Health Services,MN,Hennepin ,The Estates at Roseville,1,MN,Ramsey 
276,276,Hopkins Health Services,MN,Hennepin ,New Brighton Care Center,1,MN,Ramsey 
277,277,Hopkins Health Services,MN,Hennepin ,The Estates at St Louis Park,1,MN,Hennepin 
278,278,Hopkins Health Services,MN,Hennepin ,Augustana Care Hastings Health and Rehabilitation,1,MN,Dakota 
279,279,Hopkins Health Services,MN,Hennepin ,The Estates at Excelsior,1,MN,Hennepin 
280,280,Hopkins Health Services,MN,Hennepin ,St Therese Home,1,MN,Hennepin 
281,281,Hopkins Health Services,MN,Hennepin ,Sholom Home West,1,MN,Hennepin 
282,282,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Laurels Peak Care and Rehabilitation Center,3,MN,Blue Earth 
283,283,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Mala Strana Care and Rehabilitation Center,2,MN,Scott 
284,284,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Caledonia Rehabilitation and Retirement Center,1,MN,Houston 
285,285,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Central Health Care,1,MN,Le Sueur 
286,286,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Lake Winona Manor,1,MN,Winona 
287,287,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Prairie Manor Care Center,1,MN,Steele 
288,288,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
289,289,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,The Gardens at Cannon Falls,1,MN,Goodhue 
290,290,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Pathstone Living,1,MN,Blue Earth 
291,291,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Bay View Nursing and Rehabilitation Center,1,MN,Goodhue 
292,292,Oaklawn Care and Rehabilitation Center,MN,Blue Earth ,Hillcrest Care and Rehabilitation Center,1,MN,Blue Earth 
293,293,Minnesota Masonic Home Care Center,MN,Hennepin ,Castle Ridge Care Center,2,MN,Hennepin 
294,294,Minnesota Masonic Home Care Center,MN,Hennepin ,St Therese Home,2,MN,Hennepin 
