,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,TELEPHONE,FAX,ADMINISTRATOR,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,SLFA_BEDS,SLFB_BEDS,OTHER_BEDS,HCP_TYPE,HWS,HWS_TYPE,OPS,HOSP18_BEDS,CAH,DEEMED,SWING,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS,ICFMR_BEDS,HHA,HOSPICE,CMHC,CORF,ESRD,ASC,PPSP,PPSR,REHAP,RHC,XRAY,BLSS,MOBHES,BC,ICFMR,HCBS_PRV,SE_PRV,SNSA_PRV,LATITUDE,LONGITUDE
99,166,VICTORY HEALTH & REHAB CTR,512 49TH AVENUE NORTH,MINNEAPOLIS,MN,55430,27,HENNEPIN,612-529-7747,612-607-5821,MR. DENNIS DECOSTA,LIMITED LIABILITY COMPANY,0,0,0,87,0,0,0,0,,,,,0,,,,0,0,87,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0443166,-93.3235099
102,740,EDENBROOK OF EDINA,6200 XERXES AVENUE SOUTH,EDINA,MN,55423,27,HENNEPIN,952-925-8500,952-925-8502,DIANE WILLETTE,LIMITED LIABILITY COMPANY,0,0,0,85,0,0,0,0,,,,,0,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8894867,-93.3191103
104,997,ST. ANTHONY PARK HOME,2237 COMMONWEALTH AVENUE,ST. PAUL,MN,55108,62,RAMSEY,651-632-3503,651-644-0792,MR. JOHN BARKER,CORPORATION,0,0,0,84,0,0,0,0,,,,,0,,,,0,0,84,0,0,0,,,,,,,,,,,,,,,,N,N,,44.98055195,-93.1953843868228
115,486,EPISCOPAL CHURCH HOME OF MN,1879 FERONIA AVENUE,ST PAUL,MN,55104,62,RAMSEY,651-209-8519,651-646-2079,MS. MELISSA SCHNEIDER,NONPROFIT CORPORATION,0,0,0,81,50,0,0,0,,,,,0,,,,0,0,81,0,50,0,,,,,,,,,,,,,,,,N,N,,44.9552438,-93.1791740227434
132,898,GOOD SAM AMBASSADOR,8100 MEDICINE LAKE ROAD,NEW HOPE,MN,55427,27,HENNEPIN,763-544-4171,763-591-7191,MS. MALLORIE HABISCH,NONPROFIT CORPORATION,0,0,0,77,0,0,0,0,,,,,0,,,,0,0,77,0,0,0,,,,,,,,,,,,,,,,N,N,,45.00833495,-93.3831294790783
135,492,NEW HARMONY CARE & REHAB CTR,135 GERANIUM AVENUE EAST,ST. PAUL,MN,55117,62,RAMSEY,651-488-6658,651-488-7587,MS. BECKY HOLMGREN,CHURCH RELATED,0,0,0,76,0,0,0,0,,,,,0,,,,0,0,76,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9756208,-93.1258003
139,122,ROBBINSDALE A VILLA CENTER,3130 GRIMES AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,763-588-0771,763-588-8252,MS. KATHLEEN PANKRATZ,LIMITED LIABILITY COMPANY,0,0,0,75,0,0,0,0,,,,,0,,,,0,0,75,0,0,0,,,,,,,,,,,,,,,,N,N,,45.012582751491,-93.329787
146,900,GOOD SAM SOC MAPLEWOOD,550 EAST ROSELAWN AVENUE,MAPLEWOOD,MN,55117,62,RAMSEY,651-774-9765,651-793-3353,MS. SUSAN JENSEN,NONPROFIT CORPORATION,0,0,0,71,0,0,0,0,,,,,0,,,,0,0,71,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9993236,-93.105823
149,129,PARK HEALTH A VILLA CENTER,4415 WEST 36 1/2 STREET,ST LOUIS PARK,MN,55416,27,HENNEPIN,952-927-9717,952-516-5903,MS CINDY THAO,LIMITED LIABILITY COMPANY,0,0,0,70,0,0,0,0,,,,,0,,,,0,0,70,0,0,0,,,,,,,,,,,,,,,,N,N,,44.93631,-93.33647
150,937,THE ESTATES AT CHATEAU LLC,2106 2ND AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-874-1603,612-874-0213,MS. KATHRYN TRUCCO,LIMITED LIABILITY COMPANY,0,0,0,70,0,0,0,0,,,,,0,,,,0,0,70,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9617392020202,-93.274133
152,945,THE ESTATES AT LYNNHURST LLC,471 LYNNHURST AVENUE WEST,ST. PAUL,MN,55104,62,RAMSEY,651-645-6453,651-659-0681,MS. BRENNA HOFFMAN,LIMITED LIABILITY COMPANY,0,0,0,70,0,0,0,0,,,,,0,,,,0,0,70,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9566891,-93.1798056
161,169,THE ESTATES AT BLOOMINGTON,9200 NICOLLET AVENUE SOUTH,BLOOMINGTON,MN,55420,27,HENNEPIN,952-881-8676,952-881-1050,MN TORI KLIMEK,LIMITED LIABILITY COMPANY,0,0,0,68,0,0,0,0,,,,,0,,,,0,0,68,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8600764,-93.2782996
164,806,FRIENDSHIP VILLAGE OF BLOOMING,8100 HIGHWOOD DRIVE,BLOOMINGTON,MN,55438,27,HENNEPIN,952-831-7500,952-830-9405,JENNIFER BEVER,NONPROFIT CORPORATION,0,0,0,66,53,0,0,0,,,,,0,,,,0,66,0,0,0,0,,,,,,,,,,,,,,,,N,N,,44.85707815,-93.391481842136
174,27752,SAINT THERESE OF OXBOW LAKE,5200 OAK GROVE PARKWAY,BROOKLYN PARK,MN,55443,27,HENNEPIN,763-493-7000,763-493-7001,MR. PAUL METZLER,LIMITED LIABILITY COMPANY,0,0,0,64,0,0,0,0,,,,,0,,,,0,0,64,0,0,0,,,,,,,,,,,,,,,,N,N,,45.1313333853443,-93.3484595538246
175,950,HAVEN HOMES OF MAPLE PLAIN,4848 GATEWAY BOULEVARD,MAPLE PLAIN,MN,55359,27,HENNEPIN,763-479-1993,763-479-1996,MS. KATIE NOVOTNY,NONPROFIT CORPORATION,0,0,0,64,0,0,0,0,,,,,0,,,,0,0,64,0,0,0,,,,,,,,,,,,,,,,N,N,,44.77224,-93.28477
177,494,HIGHLAND CHATEAU HCC,2319 WEST 7TH STREET,ST. PAUL,MN,55116,62,RAMSEY,651-698-0793,651-698-0378,MR. CHAD KETCHAM,LIMITED LIABILITY COMPANY,0,0,0,64,0,0,0,0,,,,,0,,,,0,0,64,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9477142,-93.0969043
180,31815,AURORA ON FRANCE,6500 FRANCE AVENUE SOUTH,EDINA,MN,55435,27,HENNEPIN,952-848-8800,952-848-8888,MR. GARRETT BOTHUN,LIMITED LIABILITY COMPANY,0,0,0,63,0,0,0,0,,,,,0,,,,0,0,63,0,0,0,,,,,,,,,,,,,,,,N,N,,44.885584,-93.329174
181,126,ROSE OF SHARON A VILLA CENTER,1000 LOVELL AVENUE,ROSEVILLE,MN,55113,62,RAMSEY,651-484-3378,651-484-8982,MS. KATRINA KASTNER,LIMITED LIABILITY COMPANY,0,0,0,63,0,0,0,0,,,,,0,,,,0,0,63,0,0,0,,,,,,,,,,,,,,,,N,N,,45.011677,-93.141503
184,973,CASTLE RIDGE CARE CENTER,625 PRAIRIE CENTER DRIVE,EDEN PRAIRIE,MN,55344,27,HENNEPIN,952-942-2100,952-942-2101,MS. MOLLY PAHL,NONPROFIT CORPORATION,0,0,0,60,0,0,0,0,,,,,0,,,,0,0,60,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8526444,-93.4340971
185,30004,EPISCOPAL CHURCH HOME GARDENS,1860 UNIVERSITY AVENUE WEST,ST PAUL,MN,55104,62,RAMSEY,651-632-8801,651-272-4950,MR. KEANAN FRANCO,LIMITED LIABILITY COMPANY,0,0,0,60,0,0,0,0,,,,,0,,,,0,0,60,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9561939048592,-93.1784411284123
190,23579,PRESBYTERIAN HOMES NORTH OAKS,5919 CENTERVILLE ROAD,NORTH OAKS,MN,55127,62,RAMSEY,651-765-4063,651-762-7111,MS. EMILEE SIMONSON,CHURCH RELATED,0,0,0,60,0,0,0,0,,,,,0,,,,0,0,60,0,0,0,,,,,,,,,,,,,,,,N,N,,45.1236833402062,-93.056783257732
199,507,NEW BRIGHTON CARE CENTER,805 6TH AVENUE NW,NEW BRIGHTON,MN,55112,62,RAMSEY,651-633-7200,651-287-7883,MS. LACEY JOHNSON,CORPORATION,0,0,0,57,0,0,0,0,,,,,0,,,,0,0,57,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0629252653061,-93.1942082040816
201,988,THE ESTATES AT EXCELSIOR LLC,515 DIVISION STREET,EXCELSIOR,MN,55331,27,HENNEPIN,952-474-5488,952-474-3864,MS. ALYSSA SCHWALLER,LIMITED LIABILITY COMPANY,0,0,0,56,0,0,0,0,,,,,0,,,,0,0,56,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8987157142857,-93.5568511428571
204,751,COURAGE KENNY REHAB INST TRP,3915 GOLDEN VALLEY ROAD,GOLDEN VALLEY,MN,55422,27,HENNEPIN,612-775-2455,612-262-6712,MS. MARCIA LINDIG,NONPROFIT CORPORATION,0,0,0,56,0,0,0,0,,,,,0,,,,0,0,56,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9995202124541,-93.32884953098
230,284,LANGTON SHORES,1900 WEST COUNTY ROAD D,ROSEVILLE,MN,55112,62,RAMSEY,651-635-5300,651-635-5350,MS ALANA HOHERTZ,NONPROFIT CORPORATION,0,0,0,50,0,0,0,0,,,,,0,,,,0,0,50,0,0,0,,,,,,,,,,,,,,,,N,N,,45.035801,-93.141863
231,29763,INTERLUDE,2775 CAMPUS DRIVE NORTH,PLYMOUTH,MN,55441,27,HENNEPIN,763-577-3400,763-577-3401,MS. KAYLA WAGNER,NONPROFIT CORPORATION,0,0,0,50,0,0,0,0,,,,,0,,,,0,0,50,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0103817,-93.4535077970828
236,167,TWIN CITY GARDENS,2309 HAYES STREET NE,MINNEAPOLIS,MN,55418,27,HENNEPIN,612-781-2691,612-781-8835,MR. BRAD MOLGARD,LIMITED LIABILITY COMPANY,0,0,0,50,0,0,0,0,,,,,0,,,,0,0,50,0,0,0,,,,,,,,,,,,,,,,N,N,,45.038258,-93.234588
270,27189,CARONDELET VILLAGE CARE CENTER,525 FAIRVIEW AVENUE SOUTH,ST PAUL,MN,55116,62,RAMSEY,651-695-5000,651-695-5001,MS. AMBER SALGUERO-MULLENBACH,NONPROFIT CORPORATION,0,0,0,45,0,0,0,0,,,,,0,,,,0,0,45,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9256219,-93.1797027459146
283,26105,THE BIRCHES AT TRILLIUM WOODS,14585 59TH AVENUE NORTH,PLYMOUTH,MN,55446,27,HENNEPIN,763-744-9400,763-559-1799,MORGAN HOLIEN,PARTNERSHIP,0,0,0,44,0,0,0,0,,,,,0,,,,0,0,44,0,0,0,,,,,,,,,,,,,,,,N,N,,45.060368,-93.438751
297,763,LITTLE SISTERS OF THE POOR,330 SOUTH EXCHANGE STREET,ST. PAUL,MN,55102,62,RAMSEY,651-227-0336,651-227-5484,SR. MARY ELIZABETH ANDERSON,NONPROFIT CORPORATION,0,0,0,40,33,0,0,0,,,,,0,,,,0,0,40,0,33,0,,,,,,,,,,,,,,,,N,N,,44.9498049,-93.0967743
327,191,EBENEZER CARE CENTER,2545 PORTLAND AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-879-2262,612-879-2316,MR. ROBERT BRITAIN,NONPROFIT CORPORATION,0,0,0,34,85,0,0,0,,,,,0,,,,0,0,34,0,85,0,,,,,,,,,,,,,,,,N,N,,44.956498877551,-93.2675517959184
336,31760,ST. THERESE TCU NORTH LLC,3300 OAKDALE AVENUE NORTH #4,ROBBINSDALE,MN,55422,27,HENNEPIN,763-581-8460,763-581-8461,MS. SARA STERLING,LIMITED LIABILITY COMPANY,0,0,0,32,0,0,0,0,,,,,0,,,,0,0,32,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0144896,-93.3219111719781
